date,code,shares,source
2026-01-15,588000,53075668200.0,sse
2026-01-15,588080,42241628099.99999,sse
2026-01-16,510050,50492466800.0,sse
2026-01-16,510300,79760287700.0,sse
2026-01-16,510310,62414744000.0,sse
2026-01-16,510330,42010449800.00001,sse
2026-01-16,510500,17620568600.0,sse
2026-01-16,512100,25329217600.0,sse
2026-01-16,588000,53116168200.0,sse
2026-01-16,588080,34414628100.0,sse
2026-01-19,510050,48948966800.0,sse
2026-01-19,510300,77863087700.0,sse
2026-01-19,510310,61218644000.0,sse
2026-01-19,510330,40457049800.0,sse
2026-01-19,510500,17246168600.0,sse
2026-01-19,512100,23747217600.0,sse
2026-01-19,588000,53098168200.0,sse
2026-01-19,588080,32176628100.0,sse
2026-01-20,510050,47108466800.0,sse
2026-01-20,510300,75533887700.0,sse
2026-01-20,510310,59718344000.0,sse
2026-01-20,510330,39139449800.0,sse
2026-01-20,510500,16142968600.000002,sse
2026-01-20,512100,22627217600.0,sse
2026-01-20,588000,52211668200.0,sse
2026-01-20,588080,29872628100.0,sse
2026-01-21,510050,42864066800.0,sse
2026-01-21,510300,71977987700.0,sse
2026-01-21,510310,56698844000.0,sse
2026-01-21,510330,36203649800.0,sse
2026-01-21,510500,16188168600.000002,sse
2026-01-21,512100,18423217600.0,sse
2026-01-21,588000,50618668200.0,sse
2026-01-21,588080,28420628100.0,sse
2026-01-22,510050,41184666800.0,sse
2026-01-22,510300,68534587699.99999,sse
2026-01-22,510310,53355344000.0,sse
2026-01-22,510330,34380249800.0,sse
2026-01-22,510500,16158568600.000002,sse
2026-01-22,512100,16909217600.0,sse
2026-01-22,588000,50528668200.0,sse
2026-01-22,588080,28453628100.0,sse
2026-01-23,510050,38849166800.0,sse
2026-01-23,510300,64415287699.99999,sse
2026-01-23,510310,48859844000.0,sse
2026-01-23,510330,30572349800.0,sse
2026-01-23,510500,16355368600.000002,sse
2026-01-23,512100,15949217600.0,sse
2026-01-23,588000,50965168200.0,sse
2026-01-23,588080,28606628100.0,sse
2026-01-26,510050,34804566800.0,sse
2026-01-26,510300,60517387699.99999,sse
2026-01-26,510310,43849544000.0,sse
2026-01-26,510330,27559149800.0,sse
2026-01-26,510500,15190568600.000002,sse
2026-01-26,512100,13501217600.0,sse
2026-01-26,588000,50771668200.0,sse
2026-01-26,588080,28594628100.0,sse
2026-01-27,510050,33157566800.0,sse
