date,close,dd,qvix,breadth,rsi,boll_z,turnover,margin,fear,value,composite,nt_intensity,nt_etf_flow,composite_final,multiplier_final
2025-12-30,4651.28,-2.0338,16.43,63.5088,57.9159,1.4128,1.2121,2.8201,30.1265,64.0739,53.8896,0.0,-957954000.0,53.8896,1.0
2025-12-31,4629.94,-2.4832,16.37,63.1579,54.5701,0.8284,1.23,2.392,32.9528,64.5759,55.089,0.0,-3434906600.0,55.089,1.0
2026-01-05,4717.75,-0.6338,18.3,66.6667,63.8297,2.3863,1.3003,3.12,25.0594,62.1433,51.0181,13.3605,4469183700.0,51.0181,1.0
2026-01-06,4790.69,0.0,22.53,70.5263,69.4076,2.8294,1.3717,3.9855,24.4319,60.1278,49.419,14.6987,4959721400.0,49.419,1.0
2026-01-07,4776.67,-0.2927,17.83,69.8246,67.2606,2.156,1.4503,4.2079,21.7386,60.6422,48.9711,0.0,-5964534900.0,48.9711,1.0
2026-01-08,4737.65,-1.1071,20.52,69.8246,61.5535,1.4338,1.5218,4.423,27.5505,61.9779,51.6497,0.0,-1309379700.0,51.6497,1.0
2026-01-09,4758.92,-0.6632,20.3,71.9298,63.3776,1.5145,1.641,4.5478,25.4391,61.5001,50.6818,16.0687,5481673200.0,50.6818,1.0
2026-01-12,4789.92,-0.0161,21.75,73.6842,65.9159,1.67,1.754,6.66,22.5093,60.9312,49.4047,0.0,-2580591000.0,49.4047,1.0
2026-01-13,4761.03,-0.6191,24.52,71.5789,61.629,1.1938,1.8418,7.314,26.8327,61.4625,51.0735,0.0,-2281543700.0,51.0735,1.0
2026-01-14,4741.93,-1.0178,20.5,69.4737,58.9015,0.8795,1.9553,7.7175,24.8577,62.5767,51.261,0.0,-7424030500.0,51.261,1.0
2026-01-15,4751.43,-0.8195,16.81,67.3684,59.8532,0.9287,1.96,8.5658,21.1825,62.5417,50.1339,0.0,-58062805600.0,50.1339,1.0
2026-01-16,4731.87,-1.2278,16.36,64.5614,56.9301,0.5949,1.9403,9.194,23.1172,63.5763,51.4385,0.0,-84231974700.0,51.4385,1.0
2026-01-19,4734.46,-1.1737,16.53,64.3357,57.228,0.5546,1.8323,8.9977,23.8608,63.6656,51.7242,0.0,-38901427900.0,51.7242,1.0
2026-01-20,4718.88,-1.4989,15.56,65.7343,54.7739,0.2328,1.7278,8.237,24.3123,63.7208,51.8982,0.0,-47850800100.0,51.8982,1.0
2026-01-21,4723.07,-1.4115,16.09,63.7631,55.3287,0.2242,1.5717,8.1601,26.0265,64.0785,52.6629,0.0,-76774160800.0,52.6629,1.0
2026-01-22,4723.71,-1.3981,15.76,63.0662,55.4187,0.1546,1.5424,7.6729,26.5002,63.9921,52.7445,0.0,-51165525300.0,52.7445,1.0
2026-01-23,4702.5,-1.8409,17.78,62.0209,51.7027,-0.3376,1.5417,7.1855,31.4118,65.1481,55.0272,0.0,-66306791100.0,55.0272,1.0
2026-01-26,4706.96,-1.7478,19.22,64.1115,52.4251,-0.3335,1.595,7.0998,31.7967,64.6149,54.7694,0.0,-87137907700.0,54.7694,1.0
2026-01-27,4705.69,-1.7743,17.94,61.6725,52.1857,-0.4356,1.6019,7.1023,31.5886,64.6126,54.7054,0.0,-43042272900.0,54.7054,1.0
2026-01-28,4717.99,-1.5175,18.17,60.6272,54.3592,-0.2722,1.636,7.5118,30.6912,64.1141,54.0872,0.0,-112365798600.0,54.0872,1.0
2026-01-29,4753.87,-0.7686,17.95,63.4146,60.0624,0.5736,1.6874,7.2353,26.17,62.7211,51.7558,0.0,-39366824000.0,51.7558,1.0
2026-01-30,4706.34,-1.7607,18.09,59.2334,50.9753,-1.1677,1.6541,6.9131,34.5846,64.4112,55.4632,0.0,-14150092000.0,55.4632,1.0
2026-02-02,4605.98,-3.8556,27.31,55.7491,37.9271,-3.2212,1.5771,5.8674,52.5412,67.5414,63.0413,26.6465,-20636902100.0,63.0413,1.5
2026-02-03,4660.11,-2.7257,24.08,55.7491,45.9616,-1.6473,1.5343,4.9769,46.0296,66.4168,60.3007,3.0784,6940236600.0,60.3007,1.5
2026-02-04,4698.68,-1.9206,22.64,59.5819,50.8439,-0.598,1.4782,3.4278,41.2421,64.7088,57.6688,0.0,-5834212300.0,57.6688,1.0
2026-02-05,4670.42,-2.5105,24.78,59.9303,47.4604,-1.2059,1.3615,2.3399,47.1436,65.4127,59.932,0.0,-832814700.0,59.932,1.0
2026-02-06,4643.6,-3.0703,18.09,57.3427,44.438,-1.6541,1.2842,1.4219,45.8502,66.1602,60.0672,1.9274,4351656200.0,60.0672,1.5
2026-02-09,4719.06,-1.4952,23.98,59.4406,53.425,0.2701,1.2455,-0.3169,44.9859,64.0937,58.3614,0.9682,2188560900.0,58.3614,1.0
2026-02-10,4724.3,-1.3858,22.73,59.4406,53.9816,0.4799,1.197,-0.8121,44.1963,63.7439,57.8796,0.0,-5605390200.0,57.8796,1.0
2026-02-11,4713.82,-1.6046,17.83,59.7902,52.627,0.2331,1.1436,-1.9696,42.122,64.0151,57.4472,0.0,-227487000.0,57.4472,1.0
2026-02-12,4719.58,-1.4843,22.3,58.3916,53.3203,0.4612,1.1389,-2.6616,46.587,64.3182,58.9989,0.1481,334236900.0,58.9989,1.0
2026-02-13,4660.41,-2.7194,22.01,57.3427,45.8899,-1.167,1.1206,-5.233,54.9917,66.4327,63.0004,0.0,-15198111600.0,63.0004,1.5
2026-02-24,4707.54,-1.7357,16.81,57.6923,51.6674,0.2513,1.1143,-3.6829,43.8385,64.5992,58.371,0.0,-1832203800.0,58.371,1.0
2026-02-25,4735.89,-1.1439,16.01,57.8947,54.7942,1.0505,1.1509,-2.307,38.7497,63.7429,56.245,0.6245,1405761800.0,56.245,1.0
2026-02-26,4726.87,-1.3322,15.33,58.2456,53.606,0.778,1.208,-1.9875,38.1882,64.0645,56.3016,0.0,-13462379000.0,56.3016,1.0
2026-02-27,4710.65,-1.6707,14.95,58.9474,51.4455,0.3276,1.2434,-2.0561,38.9361,65.0012,57.1817,0.0,-2563902100.0,57.1817,1.0
2026-03-02,4728.67,-1.2946,15.93,56.8421,53.6791,0.8053,1.3505,-1.8413,37.9693,63.769,56.0291,0.0,-14389315800.0,56.0291,1.0
2026-03-03,4655.9,-2.8136,19.08,52.2807,44.7304,-1.1803,1.4447,-2.7404,49.7279,64.4619,60.0417,0.0,-1601508400.0,60.0417,1.5
2026-03-04,4602.62,-3.9257,19.49,49.1228,39.5338,-2.1842,1.4326,-2.9708,56.0908,66.4284,63.3272,1.8362,4092244300.0,63.3272,1.5
2026-03-05,4647.69,-2.985,16.57,51.2281,45.3207,-0.9943,1.4163,-3.3538,47.6482,65.3782,60.0592,0.0,-9351953300.0,60.0592,1.5
2026-03-06,4660.44,-2.7188,15.2,52.2807,46.8698,-0.614,1.3855,-3.4726,45.0072,65.0967,59.0698,0.5636,1256682900.0,59.0698,1.0
2026-03-09,4615.46,-3.6577,18.97,50.8772,42.3152,-1.5353,1.3439,-2.636,52.4424,65.5522,61.6193,0.0,-105939600.0,61.6193,1.5
2026-03-10,4674.76,-2.4199,16.34,52.2807,49.3089,-0.2339,1.2655,-2.057,44.2248,64.8865,58.688,0.0028,6138400.0,58.688,1.0
2026-03-11,4704.5,-1.7991,17.83,54.386,52.4243,0.4782,1.2792,-1.7531,42.2055,63.6321,57.2041,0.0,-5974444500.0,57.2041,1.0
2026-03-12,4687.56,-2.1527,16.57,55.0877,50.5197,0.0539,1.2831,-1.1195,41.543,63.8764,57.1764,0.0,-3638653200.0,57.1764,1.0
2026-03-13,4669.14,-2.5372,17.83,55.4386,48.4582,-0.4228,1.302,-1.1566,44.1923,63.6717,57.8279,0.6435,1428164300.0,57.8279,1.0
2026-03-16,4671.56,-2.4867,19.58,55.4386,48.7541,-0.4073,1.2658,-0.153,45.1607,63.4048,57.9316,1.3568,3015207600.0,57.9316,1.0
2026-03-17,4637.44,-3.1989,18.97,53.3333,44.8454,-1.1868,1.244,-0.513,48.6732,64.1373,59.4981,0.7366,1640185200.0,59.4981,1.0
2026-03-18,4658.33,-2.7629,21.05,53.6842,47.6145,-0.5664,1.1953,-0.2728,48.3037,63.9163,59.2325,0.8761,1951823500.0,59.2325,1.0
2026-03-19,4583.25,-4.3301,18.97,49.1228,39.8672,-2.1431,1.1599,0.1682,54.4006,65.3676,62.0775,1.3114,2916438000.0,62.0775,1.5
2026-03-20,4567.02,-4.6688,20.76,47.7193,38.4122,-2.1222,1.1462,-0.5515,57.4785,65.9727,63.4244,3.1543,7023776100.0,63.4244,1.5
2026-03-23,4418.0,-7.7795,43.6,38.2456,28.2262,-3.3081,1.155,1.203,72.9934,71.3002,71.8082,22.6244,8931598200.0,71.8082,1.5
2026-03-24,4474.72,-6.5955,31.59,42.1053,35.2628,-2.0912,1.141,-0.3775,66.5666,69.6022,68.6915,0.4737,1060711300.0,68.6915,1.5
2026-03-25,4537.47,-5.2857,18.3,46.3158,42.0336,-1.1804,1.1536,-1.1528,52.0937,67.7407,63.0466,0.0,-7706045200.0,63.0466,1.5
2026-03-26,4477.53,-6.5368,20.09,43.5088,37.9505,-1.7001,1.1358,-1.9329,58.11,69.2603,65.9152,0.0,-1162913000.0,65.9152,1.5
2026-03-27,4502.57,-6.0142,19.07,43.5088,40.5486,-1.2608,1.0901,-2.3024,55.7973,68.1098,64.416,0.6401,1431590300.0,64.416,1.5
2026-03-30,4491.95,-6.2358,19.58,43.8596,39.7877,-1.2623,1.0356,-2.172,56.7038,67.9446,64.5724,0.0,-4178321700.0,64.5724,1.5
2026-03-31,4450.05,-7.1105,18.09,42.1053,36.8496,-1.5551,1.0252,-1.6451,56.9161,68.3433,64.9152,0.0,-726243600.0,64.9152,1.5
2026-04-01,4526.07,-5.5236,18.18,43.1579,44.8123,-0.6393,1.0066,-1.3058,51.9794,66.1578,61.9043,0.0,-749858900.0,61.9043,1.5
2026-04-02,4478.91,-6.508,19.26,42.4561,41.3306,-1.0587,0.9956,-2.0358,55.9152,67.3832,63.9428,0.0,-2499252400.0,63.9428,1.5
2026-04-03,4440.79,-7.3037,19.96,40.4181,38.7124,-1.3275,0.9748,-2.4715,59.2166,68.9207,66.0095,1.3041,2906792200.0,66.0095,1.5
2026-04-07,4440.62,-7.3073,19.26,38.676,38.7006,-1.1972,0.9429,-2.3188,58.6896,69.0423,65.9364,1.0047,2242331100.0,65.9364,1.5
2026-04-08,4595.56,-4.0731,16.99,44.2509,52.7932,0.4896,0.986,-2.0641,46.7283,64.8341,59.4023,4.7837,10694410000.0,59.4023,1.0
2026-04-09,4566.22,-4.6855,16.45,42.5087,50.4289,0.2651,0.9966,-1.9858,47.6259,65.6649,60.2532,0.0,-8584012100.0,60.2532,1.5
2026-04-10,4636.57,-3.2171,16.94,43.2056,55.5671,1.1756,1.0434,-1.9061,43.9751,64.1006,58.063,0.0,-5634671000.0,58.063,1.0
2026-04-13,4646.15,-3.0171,17.45,44.2509,56.2324,1.3354,1.092,-0.8223,42.1715,63.9485,57.4154,0.0,-6584178300.0,57.4154,1.0
2026-04-14,4701.28,-1.8663,17.69,45.6446,59.9489,1.945,1.1679,-0.5716,38.4318,62.5734,55.3309,0.0,-3967921100.0,55.3309,1.0
2026-04-15,4685.25,-2.2009,17.61,44.9477,58.3962,1.6527,1.1625,0.1552,39.1813,62.952,55.8208,0.0,-351832900.0,55.8208,1.0
2026-04-16,4736.61,-1.1289,17.42,45.2962,61.8093,2.0476,1.1807,0.4697,36.3145,61.7809,54.141,0.0,-541801300.0,54.141,1.0
2026-04-17,4728.67,-1.2946,16.91,43.9024,60.9765,1.734,1.1891,0.7202,37.109,62.369,54.791,0.0,-3640857700.0,54.791,1.0
2026-04-20,4757.44,-0.6941,16.47,45.8042,62.9258,1.7624,1.2302,2.5055,33.5827,61.1882,52.9066,0.0,-7943824800.0,52.9066,1.0
2026-04-21,4768.0,-0.4736,16.33,44.4056,63.6436,1.6523,1.231,3.2068,33.2948,60.853,52.5855,0.0,-5937262400.0,52.5855,1.0
2026-04-22,4799.63,0.0,16.7,45.8042,65.7809,1.6901,1.2432,4.0063,31.776,60.5926,51.9476,0.0,-8765436900.0,51.9476,1.0
2026-04-23,4786.33,-0.2771,16.21,45.4545,64.0752,1.405,1.2862,4.025,32.3428,60.5363,52.0782,0.0,-11263926900.0,52.0782,1.0
2026-04-24,4769.37,-0.6305,16.26,45.1049,61.872,1.1467,1.3044,3.6261,34.0768,61.1123,53.0016,0.0,-5382114600.0,53.0016,1.0
2026-04-27,4770.95,-0.5975,16.51,44.4056,62.003,1.0482,1.3015,4.5454,33.9339,60.9581,52.8509,0.0,-13087401500.0,52.8509,1.0
2026-04-28,4758.21,-0.863,16.18,44.7552,60.2057,0.8563,1.3105,4.2362,34.6725,61.1776,53.2261,0.0,-11197889500.0,53.2261,1.0
2026-04-29,4810.35,0.0,16.14,44.4056,64.7139,1.1753,1.3094,4.71,32.2574,60.2972,51.8853,0.0,-4157891900.0,51.8853,1.0
2026-04-30,4807.31,-0.0632,16.27,45.1049,64.2568,1.0428,1.2984,4.0271,33.4415,60.6585,52.4934,0.0,-27702703000.0,52.4934,1.0
2026-05-06,4877.09,0.0,15.76,45.4545,69.5698,1.5003,1.3505,6.0668,27.7677,59.3564,49.8798,0.0,-10771664100.0,49.8798,1.0
