profile,value_axis,fear_axis_weight,nt_mode,full_excess_irr,full_cost_vs_plain,full_avg_mult,first_half_excess_irr,first_half_cost_vs_plain,first_half_avg_mult,second_half_excess_irr,second_half_cost_vs_plain,second_half_avg_mult,robust
heavy_qvix,dd50_erp50,0.5,parallel,0.15,-1.92,1.103,0.3,-1.49,1.145,0.17,-0.62,1.061,0.17
heavy_qvix,dd50_erp50,0.6,observe,0.18,-2.27,1.177,0.35,-1.59,1.233,0.26,-0.89,1.122,0.26
heavy_qvix,dd50_erp50,0.6,confirm,0.18,-2.2,1.183,0.34,-1.55,1.235,0.28,-0.94,1.131,0.28
heavy_qvix,dd50_erp50,0.6,parallel,0.11,-1.5,1.08,0.22,-1.05,1.117,0.11,-0.43,1.043,0.11
heavy_qvix,dd30_erp70,0.3,observe,0.37,-3.49,1.35,0.68,-4.15,1.373,0.6,-1.55,1.327,0.6
heavy_qvix,dd30_erp70,0.3,confirm,0.37,-3.45,1.353,0.68,-4.14,1.374,0.59,-1.54,1.333,0.59
heavy_qvix,dd30_erp70,0.3,parallel,0.26,-2.71,1.179,0.46,-2.83,1.207,0.43,-1.27,1.152,0.43
heavy_qvix,dd30_erp70,0.4,observe,0.31,-2.91,1.286,0.56,-3.31,1.307,0.53,-1.41,1.264,0.53
heavy_qvix,dd30_erp70,0.4,confirm,0.31,-2.86,1.29,0.55,-3.3,1.308,0.54,-1.42,1.271,0.54
heavy_qvix,dd30_erp70,0.4,parallel,0.21,-2.39,1.136,0.41,-2.28,1.171,0.31,-0.97,1.102,0.31
heavy_qvix,dd30_erp70,0.5,observe,0.27,-2.68,1.233,0.48,-2.71,1.265,0.44,-1.28,1.201,0.44
heavy_qvix,dd30_erp70,0.5,confirm,0.27,-2.63,1.238,0.48,-2.7,1.266,0.45,-1.31,1.21,0.45
heavy_qvix,dd30_erp70,0.5,parallel,0.17,-2.1,1.107,0.35,-1.87,1.143,0.22,-0.74,1.07,0.22
heavy_qvix,dd30_erp70,0.6,observe,0.21,-2.33,1.181,0.4,-2.02,1.222,0.32,-1.03,1.141,0.32
heavy_qvix,dd30_erp70,0.6,confirm,0.21,-2.27,1.186,0.4,-2.01,1.223,0.34,-1.07,1.15,0.34
heavy_qvix,dd30_erp70,0.6,parallel,0.13,-1.69,1.084,0.26,-1.36,1.119,0.13,-0.49,1.049,0.13
heavy_qvix,erp_only,0.3,observe,0.43,-3.6,1.396,0.77,-5.14,1.385,0.7,-1.59,1.406,0.7
heavy_qvix,erp_only,0.3,confirm,0.43,-3.57,1.398,0.77,-5.13,1.387,0.7,-1.58,1.409,0.7
heavy_qvix,erp_only,0.3,parallel,0.32,-2.94,1.216,0.55,-3.69,1.224,0.55,-1.43,1.209,0.55
heavy_qvix,erp_only,0.4,observe,0.39,-3.37,1.333,0.7,-4.49,1.335,0.63,-1.55,1.331,0.63
heavy_qvix,erp_only,0.4,confirm,0.39,-3.33,1.336,0.7,-4.47,1.336,0.63,-1.55,1.336,0.63
heavy_qvix,erp_only,0.4,parallel,0.27,-2.68,1.165,0.48,-3.11,1.182,0.44,-1.25,1.148,0.44
heavy_qvix,erp_only,0.5,observe,0.32,-2.85,1.264,0.58,-3.55,1.274,0.52,-1.36,1.255,0.52
heavy_qvix,erp_only,0.5,confirm,0.32,-2.81,1.268,0.57,-3.53,1.275,0.53,-1.38,1.261,0.53
heavy_qvix,erp_only,0.5,parallel,0.21,-2.21,1.12,0.39,-2.31,1.144,0.3,-0.92,1.096,0.3
heavy_qvix,erp_only,0.6,observe,0.26,-2.54,1.206,0.48,-2.74,1.23,0.4,-1.17,1.182,0.4
heavy_qvix,erp_only,0.6,confirm,0.26,-2.49,1.21,0.48,-2.73,1.231,0.42,-1.21,1.189,0.42
heavy_qvix,erp_only,0.6,parallel,0.16,-1.88,1.091,0.31,-1.75,1.12,0.2,-0.65,1.061,0.2
heavy_breadth,dd_only,0.3,observe,0.13,-1.91,1.301,0.27,-0.86,1.37,0.21,-0.83,1.232,0.21
heavy_breadth,dd_only,0.3,confirm,0.13,-1.84,1.307,0.25,-0.81,1.373,0.22,-0.85,1.241,0.22
